0,1,0,749,0,0,0,0,0,0,0,-1
9173,10,0,610,105,0,0,743,552,0,0,-1
9174,76,-83,610,105,0,0,50,128,602,0,-1
9178,-9,4,610,105,0,0,50,-11,605,0,-1
9182,29,-31,611,105,0,0,50,49,608,0,-1
9186,16,-14,611,105,0,0,50,24,611,0,-1
9190,9,-22,611,105,-1,0,50,25,610,0,-1
9194,2,1,610,104,-1,1,50,1,611,0,-1
9198,17,-15,610,104,-1,1,50,26,610,0,-1
9202,31,-29,611,103,-1,1,50,49,610,0,-1
9206,15,-14,611,102,-1,1,50,24,610,0,-1
9210,17,-14,611,102,-2,2,50,25,612,0,-1
9214,19,-12,611,101,-2,2,50,25,615,0,-1
9218,3,2,610,100,-2,2,50,1,614,0,-1
9222,4,2,609,99,-2,2,50,1,614,0,-1
9226,28,-33,610,98,-3,2,50,49,615,0,-1
9230,-18,14,608,96,-3,2,50,-26,614,0,-1
9234,20,-11,608,95,-3,3,50,25,612,0,-1
9238,1,3,607,94,-3,3,50,-2,610,0,-1
9242,1,3,606,93,-3,3,50,-1,611,0,-1
9246,78,-72,610,92,-3,3,50,120,613,0,-1
9250,-46,53,606,90,-3,3,50,-80,614,0,-1
9254,5,2,605,89,-3,3,50,2,615,0,-1
9258,24,-1,605,87,-3,4,50,20,617,0,-1
9262,24,0,605,86,-3,4,50,19,619,0,-1
9266,9,16,604,84,-3,4,50,-5,621,0,-1
9270,41,-13,605,83,-3,4,50,44,624,0,-1
9274,22,0,605,81,-3,4,50,17,621,0,-1
9278,7,13,604,80,-3,4,50,-5,619,0,-1
9282,27,3,604,78,-3,5,50,19,617,0,-1
9286,19,-3,604,76,-3,5,50,18,608,0,-1
9290,16,-6,604,75,-3,5,50,18,606,0,-1
9294,26,-27,605,73,-3,5,50,42,600,0,-1
9298,28,-24,606,71,-3,6,50,42,597,0,-1
9302,-5,2,605,69,-3,6,50,-5,596,0,-1
9306,9,-16,605,68,-3,6,50,20,597,0,-1
9310,4,-19,605,66,-3,6,50,19,595,0,-1
9314,-6,0,604,64,-3,7,50,-5,595,0,-1
9318,21,-34,605,62,-3,7,50,44,594,0,-1
9322,-12,-3,604,60,-3,7,50,-7,595,0,-1
9326,35,-51,606,58,-3,7,50,69,599,0,-1
9330,-5,4,605,56,-3,8,50,-7,603,0,-1
9334,-4,0,604,55,-3,8,50,-3,604,0,-1
9338,4,-20,604,53,-4,8,50,19,608,0,-1
9342,7,-15,604,51,-4,8,50,18,614,0,-1
9346,-6,1,603,49,-4,8,50,-6,616,0,-1
9350,25,-28,604,47,-4,8,50,43,617,0,-1
9354,-9,0,603,45,-5,8,50,-8,621,0,-1
9358,-6,1,602,43,-5,8,50,-6,621,0,-1
9362,9,-12,602,41,-5,8,50,17,621,0,-1
9366,9,-10,602,39,-5,8,50,15,619,0,-1
9370,11,-8,602,37,-5,8,50,15,621,0,-1
9374,9,-10,602,35,-5,8,50,15,617,0,-1
9378,10,-9,602,33,-5,8,50,15,617,0,-1
9382,11,-8,602,31,-5,8,50,15,618,0,-1
9386,11,-8,602,29,-5,8,50,15,618,0,-1
9390,-10,0,601,27,-6,8,50,-8,617,0,-1
9394,22,-29,602,25,-6,8,50,41,617,0,-1
9398,-40,34,599,23,-6,8,50,-59,616,0,-1
9402,39,-44,601,21,-6,8,50,66,615,0,-1
9406,20,-24,602,19,-6,8,50,36,615,0,-1
9410,5,-12,602,17,-6,8,50,14,612,0,-1
9414,-8,2,601,15,-6,8,50,-8,612,0,-1
9418,0,-19,601,13,-7,8,50,16,612,0,-1
9422,8,-10,601,10,-7,9,50,14,613,0,-1
9426,8,-9,601,8,-7,9,50,14,614,0,-1
9430,9,-9,601,7,-7,9,50,14,615,0,-1
9434,11,-6,601,5,-7,9,50,14,619,0,-1
9438,13,-5,601,3,-7,9,50,14,621,0,-1
9442,14,-4,601,2,-7,9,50,14,622,0,-1
9446,15,-2,601,0,-7,9,50,14,623,0,-1
9450,-5,6,600,-1,-8,9,50,-9,623,0,-1
9454,11,-8,600,-2,-8,9,50,15,622,0,-1
9458,10,-6,600,-3,-8,9,50,13,621,0,-1
9462,11,-5,600,-4,-8,9,50,13,620,0,-1
9466,11,-5,600,-4,-8,9,50,13,619,0,-1
9470,10,-6,600,-5,-8,9,50,13,616,0,-1
9474,10,-6,600,-5,-8,9,50,13,616,0,-1
9478,10,-6,600,-5,-8,9,50,13,616,0,-1
9482,10,-6,600,-5,-8,9,50,13,615,0,-1
9486,-3,9,599,-5,-8,9,50,-10,617,0,-1
9490,26,-21,600,-5,-8,9,50,38,616,0,-1
9494,10,-4,600,-4,-8,9,50,12,616,0,-1
9498,11,-5,600,-4,-8,9,50,13,616,0,-1
